Product_Id,Fixed_Unit_Price,Category_Id,Launch_Date
1301,741.0,2003,2020-05-01
1301,741.0,2054,2020-05-01
1302,741.0,2054,2020-05-01
1302,741.0,2003,2020-05-01
1303,1360.0,2003,2020-05-01
1304,16233.36,2019,2020-05-01
1305,6104.0,2019,2020-05-01
1305,6104.0,2047,2020-05-01
1306,6376.0,2019,2020-05-01
1306,6376.0,2047,2020-05-01
1307,4400.0,2049,2020-05-01
1307,4400.0,2011,2020-05-01
1308,18669.0,2014,2020-05-01
1309,37465.0,2020,2020-05-01
1310,3751.61,2005,2020-05-01
1311,13589.0,2013,2020-05-01
1312,18669.0,2014,2020-05-01
1313,31008.0,2013,2020-05-01
1313,31008.0,2033,2020-05-01
1314,23562.0,2033,2020-05-01
1314,23562.0,2013,2020-05-01
1315,19615.0,2014,2020-05-01
1315,19615.0,2033,2020-05-01
1316,7360.0,2020,2020-05-01
1317,4425.0,2059,2020-05-01
1317,4425.0,2020,2020-05-01
1318,3060.0,2011,2020-05-01
1319,2880.0,2004,2020-05-01
1320,1350.0,2003,2020-05-01
1321,3032.0,2011,2020-05-01
1322,20800.0,2024,2020-05-01
1323,1304.0,2011,2020-05-01
1324,6075.0,2004,2020-05-01
1325,1392.0,2003,2020-05-01
1326,2800.0,2004,2020-05-01
1327,3112.0,2012,2020-05-01
1328,2496.0,2011,2020-05-01
1329,12960.0,2018,2020-05-01
1330,3016.0,2011,2020-05-01
1330,3016.0,2049,2020-05-01
1331,936.0,2009,2020-05-01
1332,2416.0,2011,2020-05-01
1333,1512.0,2011,2020-05-01
1334,6000.0,2002,2020-05-01
1335,4664.0,2004,2020-05-01
1336,5200.0,2004,2020-05-01
1337,29100.0,2018,2020-05-01
1338,4080.0,2004,2020-05-01
1339,1208.0,2003,2020-05-01
1340,1160.0,2003,2020-05-01
1341,4752.0,2004,2020-05-01
1342,984.0,2003,2020-05-01
1343,984.0,2003,2020-05-01
1344,1680.0,2011,2020-05-01
1345,2936.0,2004,2020-05-01
1346,6800.0,2004,2020-05-01
1347,2120.0,2004,2020-05-01
1348,1048.0,2003,2020-05-01
1349,1048.0,2003,2020-05-01
1350,2025.0,2011,2020-05-01
1351,1816.0,2004,2020-05-01
1351,1816.0,2049,2020-05-01
1352,1080.0,2003,2020-05-01
1353,6675.0,2004,2020-05-01
1354,4000.0,2002,2020-05-01
