Customer_Id,Product_Id,Anchor_Month,Predict_Month,upsell_score,pred_next_qty,Qty_MA3,Last_Qty,incremental_qty,Fixed_Unit_Price,incr_revenue,expected_revenue
864,1911,2025-06-01,2025-07-01,0.4433333333333333,4.0,2.0,3.0,1.0,30982.5,30982.5,16513.6725
875,1125,2025-06-01,2025-07-01,0.6923633280758409,1.0,0.0,0.0,1.0,57375.0,57375.0,30580.875
875,4459,2025-06-01,2025-07-01,0.6923633280758409,1.0,0.0,0.0,1.0,12420.0,12420.0,6619.860000000001
875,4357,2025-06-01,2025-07-01,0.6923633280758409,1.0,0.0,0.0,1.0,7410.0,7410.0,3949.53
881,5530,2025-06-01,2025-07-01,0.6405620541023112,1.0,0.0,0.0,1.0,15200.0,15200.0,8101.6
891,4075,2025-06-01,2025-07-01,0.6383753689621287,1.0,0.0,0.0,1.0,1350.0,1350.0,719.5500000000001
902,5148,2025-06-01,2025-07-01,0.6844755947087882,1.0,0.0,0.0,1.0,15792.0,15792.0,8417.136
916,1009,2025-06-01,2025-07-01,0.4433000897377417,7.0,5.666666666666667,6.0,1.0,2800.0,2800.0,1492.4
916,4108,2025-06-01,2025-07-01,0.439093312107492,2.0,1.0,1.0,1.0,3837.32,3837.32,2045.2915600000001
916,2846,2025-06-01,2025-07-01,0.3978531475226668,4.0,3.0,3.0,1.0,3360.0,3360.0,1790.88
923,1743,2025-06-01,2025-07-01,0.1333333333333333,2.0,2.0,2.0,0.0,62177.5,0.0,0.0
929,1187,2025-06-01,2025-07-01,0.6372287207689779,1.0,0.0,0.0,1.0,20720.0,20720.0,11043.76
934,3714,2025-06-01,2025-07-01,0.5366666666666666,17.0,13.333333333333334,15.0,2.0,7800.0,15600.0,8314.800000000001
934,3710,2025-06-01,2025-07-01,0.3866666666666666,17.0,8.333333333333334,15.0,2.0,11388.0,22776.0,12139.608
934,4708,2025-06-01,2025-07-01,0.2816666666666667,20.0,13.333333333333334,20.0,0.0,11700.0,0.0,0.0
943,2217,2025-06-01,2025-07-01,0.7140496682947973,1.0,0.0,0.0,1.0,11840.0,11840.0,6310.72
943,5512,2025-06-01,2025-07-01,0.7140496682947973,1.0,0.0,0.0,1.0,360.0,360.0,191.88000000000002
967,3837,2025-06-01,2025-07-01,0.6260659006590761,1.0,0.0,0.0,1.0,26316.0,26316.0,14026.428
976,2581,2025-06-01,2025-07-01,0.7057799133130493,1.0,0.0,0.0,1.0,5619.2,5619.2,2995.0336
999,1253,2025-06-01,2025-07-01,0.295,4.0,3.0,2.0,1.0,1768.0,1768.0,942.344
999,1023,2025-06-01,2025-07-01,0.2233333333333333,15.0,15.0,10.0,0.0,2183.2,0.0,0.0
